2024-06-27 14:08:10 startup archives install
2024-06-27 14:08:10 install base-passwd:arm64 <none> 3.5.52build1
2024-06-27 14:08:10 status half-installed base-passwd:arm64 3.5.52build1
2024-06-27 14:08:10 status unpacked base-passwd:arm64 3.5.52build1
2024-06-27 14:08:10 configure base-passwd:arm64 3.5.52build1 3.5.52build1
2024-06-27 14:08:10 status half-configured base-passwd:arm64 3.5.52build1
2024-06-27 14:08:10 status installed base-passwd:arm64 3.5.52build1
2024-06-27 14:08:10 startup archives install
2024-06-27 14:08:10 install base-files:arm64 <none> 12ubuntu4
2024-06-27 14:08:10 status half-installed base-files:arm64 12ubuntu4
2024-06-27 14:08:10 status unpacked base-files:arm64 12ubuntu4
2024-06-27 14:08:10 configure base-files:arm64 12ubuntu4 12ubuntu4
2024-06-27 14:08:10 status half-configured base-files:arm64 12ubuntu4
2024-06-27 14:08:10 status installed base-files:arm64 12ubuntu4
2024-06-27 14:08:10 startup archives install
2024-06-27 14:08:11 upgrade dpkg 1.21.1ubuntu2 1.21.1ubuntu2
2024-06-27 14:08:11 status half-configured dpkg 1.21.1ubuntu2
2024-06-27 14:08:11 status unpacked dpkg 1.21.1ubuntu2
2024-06-27 14:08:11 status half-installed dpkg 1.21.1ubuntu2
2024-06-27 14:08:11 status unpacked dpkg:arm64 1.21.1ubuntu2
2024-06-27 14:08:11 configure dpkg:arm64 1.21.1ubuntu2 1.21.1ubuntu2
2024-06-27 14:08:11 status half-configured dpkg:arm64 1.21.1ubuntu2
2024-06-27 14:08:11 status installed dpkg:arm64 1.21.1ubuntu2
2024-06-27 14:08:11 startup archives install
2024-06-27 14:08:11 install libc6:arm64 <none> 2.35-0ubuntu3
2024-06-27 14:08:11 status half-installed libc6:arm64 2.35-0ubuntu3
2024-06-27 14:08:12 status unpacked libc6:arm64 2.35-0ubuntu3
2024-06-27 14:08:12 configure libc6:arm64 2.35-0ubuntu3 2.35-0ubuntu3
2024-06-27 14:08:12 status half-configured libc6:arm64 2.35-0ubuntu3
2024-06-27 14:08:12 status installed libc6:arm64 2.35-0ubuntu3
2024-06-27 14:08:12 startup archives install
2024-06-27 14:08:12 install perl-base:arm64 <none> 5.34.0-3ubuntu1
2024-06-27 14:08:12 status half-installed perl-base:arm64 5.34.0-3ubuntu1
2024-06-27 14:08:12 status unpacked perl-base:arm64 5.34.0-3ubuntu1
2024-06-27 14:08:12 configure perl-base:arm64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2024-06-27 14:08:12 status half-configured perl-base:arm64 5.34.0-3ubuntu1
2024-06-27 14:08:12 status installed perl-base:arm64 5.34.0-3ubuntu1
2024-06-27 14:08:12 startup archives install
2024-06-27 14:08:12 install mawk:arm64 <none> 1.3.4.20200120-3
2024-06-27 14:08:12 status half-installed mawk:arm64 1.3.4.20200120-3
2024-06-27 14:08:12 status unpacked mawk:arm64 1.3.4.20200120-3
2024-06-27 14:08:12 configure mawk:arm64 1.3.4.20200120-3 1.3.4.20200120-3
2024-06-27 14:08:12 status half-configured mawk:arm64 1.3.4.20200120-3
2024-06-27 14:08:12 status installed mawk:arm64 1.3.4.20200120-3
2024-06-27 14:08:12 startup archives unpack
2024-06-27 14:08:12 upgrade base-files:arm64 12ubuntu4 12ubuntu4
2024-06-27 14:08:12 status half-configured base-files:arm64 12ubuntu4
2024-06-27 14:08:12 status unpacked base-files:arm64 12ubuntu4
2024-06-27 14:08:12 status half-installed base-files:arm64 12ubuntu4
2024-06-27 14:08:12 status unpacked base-files:arm64 12ubuntu4
2024-06-27 14:08:12 upgrade base-passwd:arm64 3.5.52build1 3.5.52build1
2024-06-27 14:08:12 status half-configured base-passwd:arm64 3.5.52build1
2024-06-27 14:08:12 status unpacked base-passwd:arm64 3.5.52build1
2024-06-27 14:08:12 status half-installed base-passwd:arm64 3.5.52build1
2024-06-27 14:08:12 status unpacked base-passwd:arm64 3.5.52build1
2024-06-27 14:08:13 install bash:arm64 <none> 5.1-6ubuntu1
